qsort;bubble sort;size
15.619 296.851 371
15.6401 281.269 372
15.6255 265.62 373
15.6293 287.351 374
0 343.719 375
15.6344 265.645 376
15.6277 281.247 377
0 314.163 378
15.6258 286.598 379
15.6292 265.632 380
15.6189 296.869 381
15.6323 281.245 382
15.6278 304.017 383
0 312.475 384
15.6532 296.875 385
0 359.375 386
15.6245 303.565 387
15.6302 296.858 388
15.6426 328.366 389
0 327.877 390
15.6303 298.45 391
15.6281 334.907 392
15.6255 337.412 393
15.6312 312.527 394
0 329.986 395
15.6292 332.892 396
15.6302 312.476 397
15.6542 321.984 398
15.6277 363.971 399
15.6418 343.781 400
15.6283 328.122 401
0 374.999 402
15.6388 350.467 403
15.6251 359.342 404
15.6286 390.636 405
15.6123 360.89 406
15.6055 349.679 407
15.6295 374.993 408
0 359.396 409
15.6294 361.816 410
15.6285 413.842 411
15.6256 390.657 412
15.6036 392.239 413
15.6327 381.891 414
15.6287 390.602 415
15.651 421.846 416
15.6588 445.17 417
15.6222 410.909 418
15.6255 394.465 419
2.4511 402.045 420
14.8642 406.034 421
15.624 390.94 422
15.3334 395.435 423
15.6262 421.879 424
15.6309 412.513 425
0 411.677 426
15.6298 415.493 427
15.653 413.102 428
15.628 406.301 429
17.7363 454.635 430
15.6004 421.897 431
15.6273 421.87 432
15.6321 428.396 433
15.6304 421.873 434
15.6256 421.878 435
15.6244 415.965 436
15.6206 421.87 437
15.6285 421.878 438
15.6235 431.095 439
15.6292 468.746 440
15.6038 437.521 441
15.6292 442.518 442
15.6824 437.495 443
15.6236 453.123 444
15.6273 446.774 445
15.6213 468.753 446
15.6224 462.625 447
17.2557 455.229 448
15.654 468.733 449
15.8273 485.854 450
15.6041 474.22 451
15.63 453.12 452
15.6299 487.557 453
15.63 499.995 454
15.6298 526.428 455
15.3751 507.245 456
15.6218 509.27 457
15.6201 517.11 458
18.1301 500.049 459
15.6275 499.997 460
31.2515 538.26 461
15.6271 531.217 462
15.6304 517.253 463
15.63 521.163 464
15.6271 515.618 465
15.6305 526.424 466
15.6294 531.246 467
15.6295 517.393 468
31.25 523.149 469
15.6305 531.244 470
15.6294 538.484 471
15.6309 546.869 472
15.625 564.043 473
15.6028 553.014 474
15.6215 571.357 475
15.6422 565.769 476
15.6304 546.87 477
15.6532 553.306 478
15.6281 593.771 479
15.629 564.043 480
31.2451 590.878 481
31.2497 599.314 482
15.6257 571.845 483
31.2465 570.368 484
15.6309 583.162 485
15.6291 593.746 486
31.2536 600.423 487
15.6327 593.742 488
15.6303 647.062 489
15.6248 625.028 490
15.6268 595.336 491
15.6307 641.704 492
15.6358 593.74 493
17.4745 632.437 494
15.6224 656.248 495
15.6312 649.949 496
15.6273 624.996 497
15.6301 659.325 498
31.2514 638.05 499
15.6572 646.629 500
15.6546 687.496 501
15.6285 706.845 502
15.8837 640.36 503
31.248 675.083 504
15.6288 671.872 505
15.6272 690.104 506
15.629 695.969 507
17.17 694.181 508
31.252 705.108 509
30.9735 710.381 510
15.6307 721.182 511
15.6258 703.09 512
15.6319 708.622 513
15.6193 700.64 514
15.6257 691.969 515
15.6297 718.746 516
15.6235 680.982 517
31.2499 740.637 518
15.6302 738.115 519
15.6309 740.77 520
32.9611 715.257 521
31.2285 754.268 522
31.2425 734.403 523
31.2513 738.087 524
31.2515 750.254 525
15.5617 774.696 526
15.6293 743.561 527
31.2486 748.284 528
31.2502 759.518 529
15.6301 765.621 530
31.2322 768.333 531
15.6234 780.489 532
15.6302 780.794 533
31.2492 767.208 534
31.2466 814.969 535
46.8971 821.695 536
31.2524 812.499 537
15.6282 821.809 538
15.6269 805.566 539
31.2514 839.547 540
31.2501 830.744 541
31.2508 830.041 542
31.249 845.596 543
15.6297 838.461 544
15.6308 806.1 545
15.5422 821.584 546
31.2499 836.406 547
31.2503 859.375 548
15.6301 837.295 549
15.6247 868.659 550
31.304 865.212 551
15.623 878.038 552
31.2552 893.853 553
31.2521 859.375 554
15.6009 893.897 555
15.6118 902.749 556
31.2553 921.871 557
31.2489 899.946 558
15.6265 897.31 559
15.6499 945.494 560
31.2517 898.095 561
31.213 901.905 562
15.6286 937.496 563
15.6288 946.586 564
31.2504 915.434 565
31.2534 993.626 566
31.2505 968.184 567
33.4011 942.999 568
31.485 957.548 569
31.2451 939.155 570
31.2733 973.181 571
31.2517 962.487 572
31.255 1009.02 573
31.256 968.744 574
31.2544 977.808 575
31.2539 972.798 576
31.2583 1000.84 577
31.2525 981.283 578
31.2542 1024.64 579
31.2457 1049.27 580
31.2461 1031.82 581
32.9388 988.791 582
31.219 1053.11 583
31.2481 1023.1 584
31.2511 1038.18 585
15.5843 1053.55 586
31.2461 1081.16 587
31.3025 1100.68 588
31.2501 1101.5 589
31.2504 1069.57 590
31.2483 1070.88 591
31.2545 1048.49 592
38.4808 1145.04 593
31.2521 1122.24 594
31.2541 1160.49 595
31.2524 1202.94 596
